Composition,Hardness,Ref/Uncertainty
Al7 Co18.6 Cr18.6 Fe18.6 Ni18.6 Mn18.6 ,182.0,10.1007/s11837-012-0365-6
Al8 Co18.4 Cr18.4 Fe18.4 Ni18.4 Mn18.4 ,182.5,10.1007/s11837-012-0365-6
Al9 Co18.2 Cr18.2 Fe18.2 Ni18.2 Mn18.2 ,218.9,10.1007/s11837-012-0365-6
Al10 Co18 Cr18 Fe18 Ni18 Mn18 ,277.8,10.1007/s11837-012-0365-6
Al11 Co17.8 Cr17.8 Fe17.8 Ni17.8 Mn17.8 ,402.6,10.1007/s11837-012-0365-6
Al12 Co17.6 Cr17.6 Fe17.6 Ni17.6 Mn17.6 ,484.1,10.1007/s11837-012-0365-6
Al13 Co17.4 Cr17.4 Fe17.4 Ni17.4 Mn17.4 ,528.3,10.1007/s11837-012-0365-6
Al14 Co17.2 Cr17.2 Fe17.2 Ni17.2 Mn17.2 ,538.1,10.1007/s11837-012-0365-6
Al15 Co17 Cr17 Fe17 Ni17 Mn17 ,530.3,10.1007/s11837-012-0365-6
Al16 Co16.8 Cr16.8 Fe16.8 Ni16.8 Mn16.8 ,534.2,10.1007/s11837-012-0365-6
Al20 Co16 Cr16 Fe16 Ni16 Mn16 ,537.1,10.1007/s11837-012-0365-6
Al5.3 Co21.1 Cr21.1 Fe26.3 Ni26.3 ,168.0,10.1016/j.matlet.2021.130368
Al13.8 Co17.2 Cr17.2 Cu17.2 Fe17.2 Ni17.2 ,273.0,10.1038/s41467-021-24523-9
Al20.6 Co15.9 Cr15.9 Cu15.9 Fe15.9 Ni15.9 ,475.0,10.1038/s41467-021-24523-9
Al26.5 Co14.7 Cr14.7 Cu14.7 Fe14.7 Ni14.7 ,558.0,10.1038/s41467-021-24523-9
Al23.1 Co15.4 Cr15.4 Cu15.4 Fe15.4 Ni15.4 ,510.0,10.1038/s41467-021-24523-9
Al31.5 Co13.7 Cr13.7 Cu13.7 Fe13.7 Ni13.7 ,603.0,10.1038/s41467-021-24523-9
Al33.3 Co13.3 Cr13.3 Cu13.3 Fe13.3 Ni13.3 ,625.0,10.1038/s41467-021-24523-9
Al35.9 Co12.8 Cr12.8 Cu12.8 Fe12.8 Ni12.8 ,655.0,10.1038/s41467-021-24523-9
Al37.5 Co12.5 Cr12.5 Cu12.5 Fe12.5 Ni12.5 ,735.0,10.1038/s41467-021-24523-9
Al6.7 Co23.3 Cr23.3 Fe23.3 Ni23.3 ,152.0,10.1557/s43577-022-00284-8
Co20 Cr20 Cu20 Fe20 Ni20 ,286.0,10.1016/j.actamat.2017.08.045
Al16.7 Co16.7 Cr16.7 Cu8.3 Fe16.7 Ni25 ,358.0,10.1016/j.intermet.2016.12.007
Al20 Co20 Cr20 Cu10 Fe10 Ni20 ,586.0,10.1016/j.intermet.2016.12.007
Al16.7 Co16.7 Cr25 Cu8.3 Fe16.7 Ni16.7 ,601.0,10.1016/j.intermet.2016.12.007
Al15.4 Co30.8 Cr15.4 Cu7.7 Fe15.4 Ni15.4 ,295.0,10.1016/j.intermet.2016.12.007
Al22.2 Co22.2 Cu11.1 Fe22.2 Ni22.2 ,584.0,10.1016/j.intermet.2016.12.007
Al15.4 Co15.4 Cr15.4 Cu7.7 Fe15.4 Ni30.8 ,310.0,10.1016/j.intermet.2016.12.007
Al16.7 Co25 Cr16.7 Cu8.3 Fe16.7 Ni16.7 ,451.0,10.1016/j.intermet.2016.12.007
Al20 Co20 Cr10 Cu10 Fe20 Ni20 ,546.0,10.1016/j.intermet.2016.12.007
Al15.4 Co15.4 Cr30.8 Cu7.7 Fe15.4 Ni15.4 ,607.0,10.1016/j.intermet.2016.12.007
Al16.7 Co16.7 Cr16.7 Cu8.3 Fe25 Ni16.7 ,537.0,10.1016/j.intermet.2016.12.007
Al15.4 Co15.4 Cr15.4 Cu7.7 Fe30.8 Ni15.4 ,514.0,10.1016/j.intermet.2016.12.007
Al20 Co20 Cr20 Cu10 Fe20 Ni10 ,604.0,10.1016/j.intermet.2016.12.007
Al22.2 Co22.2 Cr22.2 Cu11.1 Fe22.2 ,639.0,10.1016/j.intermet.2016.12.007
Al22.2 Cr22.2 Cu11.1 Fe22.2 Ni22.2 ,534.0,10.1016/j.intermet.2016.12.007
Al30.8 Co15.4 Cr15.4 Cu7.7 Fe15.4 Ni15.4 ,609.0,10.1016/j.intermet.2016.12.007
Al20 Co10 Cr20 Cu10 Fe20 Ni20 ,551.0,10.1016/j.intermet.2016.12.007
Al25 Co16.7 Cr16.7 Cu8.3 Fe16.7 Ni16.7 ,586.0,10.1016/j.intermet.2016.12.007
Al12.5 Co12.5 Cr12.5 Fe12.5 Ni50 ,225.0,10.1016/j.actamat.2018.07.042
Co5 Cr23.8 Cu23.8 Fe23.8 Ni23.8 ,146.0,10.1016/j.actamat.2018.07.042
Co10 Cr22.5 Cu22.5 Fe22.5 Ni22.5 ,150.0,10.1016/j.actamat.2018.07.042
Co15 Cr21.3 Cu21.3 Fe21.3 Ni21.3 ,158.0,10.1016/j.actamat.2018.07.042
Co33.3 Cr16.7 Cu16.7 Fe16.7 Ni16.7 ,175.0,10.1016/j.actamat.2018.07.042
Co25 Cu25 Fe25 Ni25 ,154.0,10.1016/j.actamat.2018.07.042
Co23.8 Cr5 Cu23.8 Fe23.8 Ni23.8 ,153.0,10.1016/j.actamat.2018.07.042
Co22.5 Cr10 Cu22.5 Fe22.5 Ni22.5 ,158.0,10.1016/j.actamat.2018.07.042
Co21.3 Cr15 Cu21.3 Fe21.3 Ni21.3 ,161.0,10.1016/j.actamat.2018.07.042
Co16.7 Cr33.3 Cu16.7 Fe16.7 Ni16.7 ,172.0,10.1016/j.actamat.2018.07.042
Co25 Cr25 Cu25 Ni25 ,183.0,10.1016/j.actamat.2018.07.042
Co23.8 Cr23.8 Cu23.8 Fe5 Ni23.8 ,182.0,10.1016/j.actamat.2018.07.042
Co22.5 Cr22.5 Cu22.5 Fe10 Ni22.5 ,172.0,10.1016/j.actamat.2018.07.042
Co16.7 Cr16.7 Cu16.7 Fe33.3 Ni16.7 ,157.0,10.1016/j.actamat.2018.07.042
Co22.5 Cr22.5 Cu22.5 Fe22.5 Ni10 ,170.0,10.1016/j.actamat.2018.07.042
Co21.3 Cr21.3 Cu21.3 Fe21.3 Ni15 ,167.0,10.1016/j.actamat.2018.07.042
Co16.7 Cr16.7 Cu16.7 Fe16.7 Ni33.3 ,158.0,10.1016/j.actamat.2018.07.042
Co26.7 Cr26.7 Fe26.7 Ni20 ,140.0,10.1016/j.actamat.2018.07.042
Co20 Cr20 Fe20 Ni40 ,125.0,10.1016/j.actamat.2018.07.042
Al14.3 Co14.3 Cr14.3 Fe14.3 Ni42.9 ,242.0,10.1016/j.actamat.2018.07.042
Al15.4 Co15.4 Cr15.4 Fe15.4 Ni38.5 ,265.0,10.1016/j.actamat.2018.07.042
Al16.7 Co16.7 Cr16.7 Fe16.7 Ni33.3 ,335.0,10.1016/j.actamat.2018.07.042
Co28.3 Cr28.3 Fe28.3 Ni15 ,170.0,10.1016/j.actamat.2018.07.042
Al18.2 Co18.2 Cr18.2 Fe18.2 Ni27.3 ,503.0,10.1016/j.actamat.2018.07.042
Al21.3 Co21.3 Cr21.3 Fe21.3 Ni15 ,555.0,10.1016/j.actamat.2018.07.042
Al22.5 Co22.5 Cr22.5 Fe22.5 Ni10 ,548.0,10.1016/j.actamat.2018.07.042
Al23.8 Co23.8 Cr23.8 Fe23.8 Ni5 ,615.0,10.1016/j.actamat.2018.07.042
Al25 Co25 Cr25 Fe25 ,720.0,10.1016/j.actamat.2018.07.042
Al23.8 Co5 Cr23.8 Fe23.8 Ni23.8 ,550.0,10.1016/j.actamat.2018.07.042
Al22.5 Co10 Cr22.5 Fe22.5 Ni22.5 ,539.0,10.1016/j.actamat.2018.07.042
Al23.8 Co23.8 Cr5 Fe23.8 Ni23.8 ,438.0,10.1016/j.actamat.2018.07.042
Al22.5 Co22.5 Cr10 Fe22.5 Ni22.5 ,476.0,10.1016/j.actamat.2018.07.042
Al22.5 Co22.5 Cr22.5 Fe10 Ni22.5 ,587.0,10.1016/j.actamat.2018.07.042
Al21.3 Co21.3 Cr21.3 Fe15 Ni21.3 ,558.0,10.1016/j.actamat.2018.07.042
Al16.7 Co16.7 Cr16.7 Fe33.3 Ni16.7 ,510.0,10.1016/j.actamat.2018.07.042
Al40 Co20 Cr20 Fe20 ,775.0,10.1016/j.actamat.2018.07.042
Co25 Cr25 Fe25 Ni25 ,140.0,10.1016/j.actamat.2018.07.042
Al25 Co25 Fe25 Ni25 ,410.0,10.1016/j.actamat.2018.07.042
Al20 Co20 Cr20 Fe20 Ni20 ,510.0,10.1016/j.actamat.2018.07.042
Co20 Cr20 Fe20 Ni20 Mn20 ,145.0,10.1002/adma.202004029
Al5 Cr12 Fe35 Ni20 Mn28 ,359.0,10.1126/sciadv.aaz4748
Al11.11 Cr22.22 Fe33.33 Ni11.11 Mn22.22 ,396.0,10.1103/PhysRevLett.87.156401
Al14.5 Co17.1 Cr17.1 Cu17.1 Fe17.1 Ni17.1 ,271.0,10.1103/PhysRevLett.65.353
Al16.7 Co16.7 Cr16.7 Cu16.7 Fe16.7 Ni16.7 ,406.0,10.1103/PhysRevLett.65.353
Al19.4 Co16.12 Cr16.12 Cu16.12 Fe16.12 Ni16.12 ,481.0,10.1103/PhysRevLett.65.353
Al35.1 Co12.99 Cr12.99 Cu12.99 Fe12.99 Ni12.99 ,661.0,10.1103/PhysRevLett.65.353
Al11.1 Co22.2 Cr22.2 Fe22.2 Ni22.2 ,240.0,10.1103/PhysRevLett.65.353
Al14.9 Co21.3 Cr21.3 Fe21.3 Ni21.3 ,328.0,10.1103/PhysRevLett.65.353
Al16.7 Co20.9 Cr20.9 Fe20.9 Ni20.9 ,379.0,10.1103/PhysRevLett.65.353
Al23.1 Co19.2 Cr19.2 Fe19.2 Ni19.2 ,481.0,10.1103/PhysRevLett.65.353
Al27.3 Co18.2 Cr18.2 Fe18.2 Ni18.2 ,484.0,10.1103/PhysRevLett.65.353
Al45.2 Co13.7 Cr13.7 Fe13.7 Ni13.7 ,740.0,10.1103/PhysRevLett.65.353
Al5.7 Cr18.7 Cu18.7 Fe18.7 Ni37.4 ,169.0,10.1103/PhysRevLett.65.353
Al7.4 Cr18.5 Cu18.5 Fe18.5 Ni37 ,200.0,10.1103/PhysRevLett.65.353
Al9.1 Cr18.1 Cu18.1 Fe18.1 Ni36.2 ,240.0,10.1103/PhysRevLett.65.353
Al12.3 Cr17.5 Cu17.5 Fe17.5 Ni35 ,291.0,10.1103/PhysRevLett.65.353
Al13.8 Cr17.2 Cu17.2 Fe17.2 Ni34.4 ,322.0,10.1103/PhysRevLett.65.353
Al15.3 Cr16.9 Cu16.9 Fe16.9 Ni33.8 ,338.0,10.1103/PhysRevLett.65.353
Al16.7 Cr16.7 Cu16.7 Fe16.7 Ni33.4 ,389.0,10.1103/PhysRevLett.65.353
Al19.4 Cr16.1 Cu16.1 Fe16.1 Ni32.2 ,522.0,10.1103/PhysRevLett.65.353
Al28.6 Cr14.3 Cu14.3 Fe14.3 Ni28.6 ,572.0,10.1103/PhysRevLett.65.353
Al33.3 Cr13.3 Cu13.3 Fe13.3 Ni26.6 ,600.0,10.1103/PhysRevLett.65.353
Co5 Cr23.75 Fe23.75 Ni23.75 Mn23.75 ,154.0,10.1038/s41524-019-0151-x
Al20 Co20 Cr20 Cu20 Ni20 ,419.0,10.1103/PhysRevLett.116.105501
Al43 Co6 Cr33 Cu6 Fe6 Ni6 ,764.0,10.1038/s41467-018-03846-0
Al42.9 Co14.3 Cr7.1 Cu7.1 Fe7.1 Ni21.4 ,591.0,10.1038/s41467-018-03846-0
Al42.9 Co21.4 Cr7.1 Cu7.1 Fe7.1 Ni14.3 ,701.0,10.1038/s41467-018-03846-0
Al40 Co13.3 Cr6.7 Cu13.3 Fe20 Ni6.7 ,768.0,10.1038/s41467-018-03846-0
Al46.2 Co15.4 Cr7.7 Cu7.7 Fe15.4 Ni7.7 ,702.0,10.1038/s41467-018-03846-0
Al42.9 Co7.1 Cr14.3 Cu7.1 Fe14.3 Ni14.3 ,694.0,10.1038/s41467-018-03846-0
Al7 Cr23.3 Fe23.3 Ni46.5 ,149.0,10.1038/s41467-018-03846-0
Al11.1 Cr22.2 Fe22.2 Ni44.4 ,229.0,10.1038/s41467-018-03846-0
Al13 Cr28 Cu22 Fe6 Ni31 ,459.0,10.1038/s41467-018-03846-0
Al12 Cr31 Cu21 Fe5 Ni31 ,469.0,10.1038/s41467-018-03846-0
Al12 Cr31 Cu20 Fe5 Ni32 ,483.0,10.1038/s41467-018-03846-0
Al10 Cr35 Cu25 Fe5 Ni25 ,472.0,10.1038/s41467-018-03846-0
Al10 Cr35 Cu26 Fe5 Ni24 ,454.0,10.1038/s41467-018-03846-0
Al10 Cr35 Cu24 Fe5 Ni26 ,441.0,10.1038/s41467-018-03846-0
Al11 Cr29 Cu29 Fe5 Ni26 ,495.0,10.1038/s41467-018-03846-0
Al11 Cr28 Cu29 Fe7 Ni25 ,477.0,10.1038/s41467-018-03846-0
Al11 Cr28 Cu27 Fe6 Ni28 ,469.0,10.1038/s41467-018-03846-0
Al43 Co22 Cr23 Fe7 Ni5 ,785.6,12.4
Al47 Co20 Cr18 Cu5 Fe5 Ni5 ,771.1,16.1
Al43 Co22 Cr22 Fe8 Ni5 ,783.7,10.1
Al47 Co19 Cr19 Cu5 Fe5 Ni5 ,771.9,12.8
Al51 Co22 Cr19 Ni4 Mn4 ,797.1,14.6
Al49 Co22 Cr19 Cu2 Fe2 Ni4 Mn2 ,792.2,13.7
Al52 Co22 Cr18 Fe4 Ni4 ,804.3,18.2
Al52 Co24 Cr18 Ni4 Mn2 ,815.4,16.3
Al54 Co22 Cr18 Ni4 Mn2 ,814.5,23.5
Al53 Co19 Cr18 Fe4 Ni4 Mn2 ,801.8,17.1
Al51 Co23 Cr18 Ni4 Mn4 ,792.2,13.7
